country_name,energy_usage,urban_pop_growth
Oman,6767.620566,80.145
Other small states,,60.05476923
Pakistan,462.6770106,35.819
Panama,1072.221468,66.371
Peru,692.9539738,77.173
Philippines,444.9495651,46.093
Palau,,77.517
Papua New Guinea,,12.988
Poland,2566.574313,60.403
Pre-demographic dividend,587.5598611,39.04974273
Puerto Rico,,93.651
"Korea, Dem. People?s Rep.",574.7893641,61.098
Portugal,2039.011896,62.936
Paraguay,778.1692225,60.474
West Bank and Gaza,,75.113
Pacific island small states,,37.80261752
Post-demographic dividend,4645.908702,80.57305463
French Polynesia,,61.633
Qatar,17344.37911,98.868
Romania,1741.722606,53.9
Russian Federation,5167.011977,73.95
Rwanda,,16.967
South Asia,544.7358568,32.33684592
Saudi Arabia,6871.804938,82.96
Sudan,379.7261751,33.689
Senegal,300.3242578,45.436
Singapore,4898.330465,100
Solomon Islands,,21.896
Sierra Leone,,40.432
El Salvador,677.3283351,68.874
San Marino,,96.559
Somalia,,42.679
Serbia,2020.395115,55.583
Sub-Saharan Africa (excluding high income),688.3195148,38.06751046
South Sudan,63.66971281,18.626
Sub-Saharan Africa,688.3195148,38.06910403
Small states,,56.91218519
Sao Tome and Principe,,69.213
Suriname,1440.404992,66.089
Slovak Republic,3080.725034,54
Slovenia,3424.040145,53.557
Sweden,5269.485998,86.247
Eswatini,,23.149
Sint Maarten (Dutch part),,100
Seychelles,,54.969
Syrian Arab Republic,726.1981277,51.5
Turks and Caicos Islands,,91.851
Chad,,22.372
East Asia & Pacific (IDA & IBRD countries),1770.616907,51.56706003
Europe & Central Asia (IDA & IBRD countries),3093.537336,65.67120505
Togo,461.0402983,39.579
Thailand,1860.317575,46.943
Tajikistan,298.0087837,26.655
Turkmenistan,4847.756032,49.921
Latin America & the Caribbean (IDA & IBRD countries),1389.032976,79.5884432
Timor-Leste,,29.133
Middle East & North Africa (IDA & IBRD countries),1378.326369,60.06607595
Tonga,,23.328
South Asia (IDA & IBRD),544.7358568,32.33684592
Sub-Saharan Africa (IDA & IBRD countries),688.3195148,38.06910403
Trinidad and Tobago,14312.39269,53.413
Tunisia,944.4204952,67.772
Turkey,1583.634411,73.077
Tuvalu,,58.786
Tanzania,492.6670498,30.904
Uganda,,21.504
Ukraine,2687.058515,68.968
Upper middle income,2148.45928,62.94566037
Uruguay,1372.40032,94.945
United States,6872.102687,81.483
Uzbekistan,1625.988144,50.85
St. Vincent and the Grenadines,,50.558
"Venezuela, RB",2488.273475,88.144
British Virgin Islands,,46.216
Virgin Islands (U.S.),,95.213
Vietnam,667.3200042,33.115
Vanuatu,,24.861
World,1893.027655,53.45695101
Samoa,,19.149
Kosovo,1311.783736,
"Yemen, Rep.",244.4377269,34.165
South Africa,2636.617553,64.312
Zambia,630.3311946,41.382
Zimbabwe,824.2429298,32.504
